eq_site_limit,hu_site_limit
498960,498960
1322376.3,1322376.3
190724.4,190724.4
0,79520.76
0,254281.5
0,515035.62
0,19260000
328500,328500
315000,315000
705600,705600
831498.3,831498.3
0,24059.09
0,48115.94
0,28869.12
0,56135.64
0,48115.94
0,48115.94
0,80192.49
0,48115.94
0,60946.79
0,28869.12
0,13410000
0,1669113.93
0,179562.23
0,177744.16
0,17757.58
0,130129.87
0,42854.77
0,785.58
0,170361.91
0,1430.89
0,129913.27
0,366285.62
0,22512.61
0,9246.6
0,96164.64
0,11095.92
218475,218475
1400904,1400904
4365,4365
4365,4365
39789,39789
24867,24867
213876,213876
69435,69435
14922,14922
165546,165546
72837,72837
72837,72837
19440,19440
9945,9945
0,255878.61
0,153527.17
0,255878.61
0,102351.45
0,155489.66
0,137233.8
0,123596.05
0,107111.11
0,96309.32
0,104031.7
338944.5,338944.5
272349,272349
129690,129690
123210,123210
0,3698.64
2115760.5,2115760.5
0,93548.58
0,1037311.14
0,15463.3
0,13893.35
0,316618.23
0,54834.66
0,295269.11
0,723734.17
0,1741572
135450,135450
60300,60300
22500,22500
0,34212.42
0,460128.2
0,32169.69
0,50550.75
42300,42300
0,10171.26
0,155342.88
0,3698.64
0,4623.3
0,33287.76
0,21267.18
0,729556.74
0,350446.14
0,2135964.6
0,4623.3
0,2469639.6
0,914073.3
0,3042940.5
0,234997.65
0,912600
0,1920744.9
0,455754.6
0,1552693.95
0,8910
0,398968.2
0,4500
0,31071.6
0,4956125.85
0,40500
0,135868.99
0,36784.23
0,1086940.9
0,16767.17
0,1404900
0,4696520.5
0,67892.48
0,86056.32
0,67892.48
0,67892.48
0,86056.32
0,67892.48
0,101009.36
0,67892.48
0,67892.48
0,86056.32
0,86056.32
0,132603.34
0,132603.34
0,91764.15
0,457854.5
0,385480.82
0,213596.46
0,1051338.42
0,6472.62
0,159041.52
0,12945.24
0,29589.12
0,12945.24
29061,29061
48087,48087
128628,128628
128628,128628
128628,128628
4968,4968
157005,157005
459,459
459,459
1062,1062
2304,2304
1476,1476
185040,185040
0,11095.92
0,8321.94
0,199726.56
0,118356.48
0,17568.54
0,147945.6
0,724933.44
0,8284485.6
438498,438498
0,99960.9
0,669692.78
0,240539.39
0,331518.28
0,5919.86
0,77426.73
0,765763.8
0,7532014.45
0,963962.79
0,121066.57
0,70964.84
0,755749
0,2162232
0,615141.68
0,135000
0,161748
0,164484
0,170532
0,181980
0,181980
0,186012
0,192348
0,197604
0,198468
0,198612
0,200052
0,201276
0,207324
0,208836
0,212436
0,218052
0,218412
0,221076
0,226764
0,237132
0,239652
0,245052
0,245052
0,257868
0,6381518.4
0,15390000
235696.5,235696.5
18000,18000
1772074.8,1772074.8
95922,95922
20763,20763
0,16560000
0,582759.1
0,2244.53
0,196396.18
0,21500.33
0,74091.86
0,86863.23
0,796134.02
0,298522.2
0,23118.64
0,63407.91
0,285728.39
0,9016.27
0,80915.23
0,28898.3
0,1505741.49
0,53078.59
0,162952.72
0,2261249.55
0,1363101.75
0,295716.54
0,392231.24
0,192917.17
0,168339.59
0,316029.52
0,151505.63
0,280565.98
0,460128.2
0,324000
212850,212850
135000,135000
94284,94284
6300,6300
1248407.1,1248407.1
0,114170.34
0,498344.66
0,910.22
0,3195.34
0,172157.99
945000,945000
76500,76500
76500,76500
431726.4,431726.4
0,11767.98
0,15981.99
0,35302.09
0,26396.15
0,7536.5
0,13198.07
0,29410.75
0,13198.07
0,25780.36
0,9806.65
0,15992.1
0,9806.65
0,13198.07
0,304842.43
0,13198.07
0,48252.01
0,9806.65
0,9190.86
0,68931.45
0,68931.45
0,27572.58
0,13786.29
0,9190.86
0,102937.63
0,19605.94
0,13198.07
0,9806.65
0,9806.65
0,11764.3
0,7619.22
0,13198.07
0,6433.6
0,6617.42
0,9806.65
0,8712.94
0,301000.66
0,57442.87
0,18381.72
0,3032.98
0,3032.98
0,9007.04
0,18381.72
0,652150.86
0,75824.59
0,91908.6
0,45954.3
0,64336.02
0,234366.92
0,13786.29
0,22977.15
0,18381.72
0,91908.6
0,43840.4
0,38601.61
0,413588.69
0,13786.29
0,22977.15
0,25274.86
0,27572.58
0,137862.9
0,91908.6
0,22977.15
0,27572.58
0,77254.74
0,212887.5
0,653122.95
0,635702.59
0,781465.69
0,638884.47
0,1939500
0,6760449.39
162366.3,162366.3
0,648862.42
0,240578.59
0,13467.17
0,19639.62
0,604316.67
0,171459.48
0,822091.98
0,85444.69
0,26934.33
0,162728.27
0,589356.89
0,13657.95
0,64726.57
0,2603338.04
0,67335.83
0,22445.28
0,31984.52
0,44890.56
0,15341.35
0,1748172.94
0,212051.77
0,238222.96
0,174354.92
0,29086.84
0,49883.51
0,33850.85
0,14204.49
0,60112.94
0,776595.4
0,88434.4
0,61724.52
0,33667.92
0,64275.42
216363.6,216363.6
0,106317.27
0,170207.57
189999.9,189999.9
635996.7,635996.7
1729530,1729530
0,110218.53
0,123995.38
0,13777.78
0,38954.52
0,428020.45
0,38954.52
0,3505598.5
0,140160.38
0,60397.19
0,1138559.14
0,4623.3
0,34212.42
0,11095.92
0,25899.23
0,10211.17
0,4084.47
0,26920.35
0,80668.21
0,70642.7
0,263169.6
0,15873.72
0,246924.56
0,942304.98
0,12996.03
0,42886.9
0,2784.86
0,105764.12
0,18419.71
0,36836.28
0,214534.66
0,44199.98
0,51130.14
194537.7,194537.7
0,28776.92
0,151310.92
0,179562.23
0,16833.96
0,24914.26
0,169461.85
407520,407520
137160,137160
123300,123300
0,37823.84
0,181487.52
0,948148.79
585000,585000
82620,82620
0,61027.56
0,22500
874801.8,874801.8
504230.4,504230.4
0,67591.02
0,135763.24
702820.8,702820.8
0,129600000
0,67892.48
0,67892.48
0,102221.41
0,105926
0,4542119.64
0,191242.75
0,921352.86
0,35322.13
0,108562.2
0,26195.88
0,101204.64
0,16160.6
0,22781.96
0,114298.09
0,315302.29
0,109954.93
0,180630.62
0,124374.9
0,134464.05
0,496159.61
0,2311064.6
0,72279
0,22356.54
0,16767.17
0,16767.17
0,396814.48
0,167668.04
0,16767.17
0,16767.17
0,22356.54
0,22356.54
0,16767.17
0,16767.17
0,344852.16
0,68970.43
0,91960.58
0,25748.96
0,25105.24
0,38623.44
0,9196.06
0,9196.06
0,38623.44
0,45980.29
0,137940.86
0,27944.98
0,22356.54
0,89423.38
0,16767.17
0,12250.99
0,30686.32
0,59774.37
0,32186.2
0,11549.33
2070,2070
0,42481.06
321053.4,321053.4
132651,132651
23400,23400
0,0
977330.7,977330.7
0,1222262.42
493833.6,493833.6
305427.6,305427.6
288279,288279
0,910695.68
0,14066.75
0,7571.54
0,702715.18
0,132894.53
0,14066.75
0,113441.57
0,123449.03
0,701414.94
67590,67590
14670,14670
0,1449866.88
0,1849.32
0,372637.98
0,211747.14
0,6472.62
2476576.8,2476576.8
0,34713.82
0,17198.19
0,14453.8
0,796867.35
0,1125.2
0,59097.75
0,58547.04
0,2790.13
0,12087.22
0,5324.12
0,1863.44
0,75825.74
0,228.7
0,3210.02
0,5962.65
0,910.22
0,910.22
0,9660.26
0,1585.34
0,11880.48
0,8370.4
0,48183.3
0,2706.89
0,4665.47
0,79587.39
0,19210.75
0,14453.8
0,631.21
0,1209270.9
0,101097.02
0,86949.68
0,403517.2
0,384.21
0,45932.5
0,45932.5
0,45932.5
0,45932.5
0,45932.5
0,45932.5
0,45932.5
0,45932.5
0,45932.5
0,37894.32
0,126314.39
0,114440.68
0,292819.71
0,918650.08
0,172246.89
0,459325.04
0,28707.81
0,38468.47
0,10396.08
2348172,2348172
0,43459.02
0,12020.58
63396,63396
76779,76779
244701,244701
20826,20826
677898,677898
1216161,1216161
2493,2493
6462,6462
19890,19890
94428,94428
2493,2493
5967,5967
18900000,18900000
3609198,3609198
6649758,6649758
75969,75969
2493,2493
7461,7461
198954,198954
258633,258633
11520,11520
38385,38385
3029976,3029976
538857,538857
1172421,1172421
2930220,2930220
1978974,1978974
1831842,1831842
460881,460881
66132,66132
66132,66132
66132,66132
2493,2493
24867,24867
109431,109431
333243,333243
1178082,1178082
92637,92637
91314,91314
29835,29835
28791,28791
5436,5436
885150,885150
28962,28962
6903,6903
64665,64665
2264391,2264391
4977,4977
61668,61668
14400,14400
72837,72837
72837,72837
161928,161928
604530,604530
240622.2,240622.2
0,32094.19
0,32094.19
0,32094.19
0,74144.01
0,32094.19
0,1833.95
0,867339.18
0,930359.34
0,44565.08
0,1270260.69
0,255027.8
0,265923.32
0,22924.42
0,2792753.33
0,343866.37
0,1931904.47
0,202488.69
0,308888.28
0,719781.99
0,308888.28
0,14066.75
0,14066.75
0,14066.75
0,14066.75
0,28133.51
0,1383987.18
0,72602.61
0,7260.26
0,1800544.63
0,78741.16
0,14130000
0,1669180.2
0,399314.33
0,97105.99
0,358672.3
0,385701.35
0,32671.17
0,163355.86
0,47295.92
0,138384.12
0,98996.02
0,125693.56
0,98996.02
0,98996.02
0,140282.99
0,140282.99
0,135793.93
0,220188.18
0,220188.18
0,220188.18
0,135793.93
0,135793.93
0,123449.03
0,220188.18
0,123449.03
0,135793.93
0,4402.16
0,2175765.3
0,2158173
0,11160000
0,316139.85
0,57600
0,221400
0,111600
0,15120
0,9180
0,127800
0,1434992.47
0,128341.04
0,638012.84
0,56135.64
0,28869.12
0,28869.12
0,56135.64
0,56135.64
0,56135.64
0,56135.64
0,56135.64
0,48115.94
0,56135.64
0,48115.94
0,80192.49
0,176424.38
0,24057.97
0,56135.64
0,56135.64
0,240578.59
0,48115.94
0,56135.64
0,24057.97
0,24057.97
0,24057.97
0,48115.94
0,80192.49
0,57739.36
0,14310000
0,511334.86
0,192789.23
0,108607.09
0,2419079.14
0,473034.24
0,14589.43
0,280565.98
0,280565.98
0,224452.78
0,168339.59
0,149822.23
0,145894.31
0,89781.11
0,101003.75
0,44890.56
0,31423.39
0,179562.23
0,28056.6
0,39279.24
0,33667.92
0,2973818.68
0,391052.86
0,28396.64
0,85545.69
0,25972.55
0,817622
0,84169.79
0,20200.75
0,20200.75
0,484818.01
0,58357.72
0,21323.01
0,871202.25
137358,137358
0,893221.56
0,2773.98
541125,541125
4806,4806
3600,3600
1800,1800
630,630
630,630
270,270
270,270
270,270
270,270
270,270
630,630
810,810
810,810
315,315
100890,100890
4806,4806
621306,621306
519309,519309
630315,630315
1159911,1159911
165510,165510
50850,50850
1350,1350
900,900
1350,1350
46260,46260
6687,6687
3600,3600
3600,3600
4950,4950
4950,4950
3510,3510
6750,6750
6750,6750
8730,8730
11700,11700
7290,7290
27450,27450
644667.3,644667.3
1474668,1474668
400446,400446
366579,366579
979389,979389
463527,463527
7290,7290
19440,19440
13698,13698
21150,21150
9270,9270
0,8999.56
0,16686.68
0,124578.27
0,478171.89
0,54372.34
0,263732.02
0,56113.2
0,2888.71
0,14441.29
0,28881.46
0,69355.91
0,17800.23
0,61948.97
0,369572.73
0,769255.8
255420,255420
150570,150570
68391,68391
0,13869.9
0,232089.66
328500,328500
487431,487431
312602.4,312602.4
519750,519750
0,237600
0,714435.95
0,826097.81
0,835969.55
0,1196984.13
0,3163525.96
0,50815.57
0,28869.12
0,28869.12
0,60946.79
0,56135.64
0,1924626.49
0,3207710.82
0,252172.7
0,75926.76
0,48462.72
0,50501.88
0,8978.11
0,948818.02
0,409783.44
0,1115436.6
0,218475
0,3210.02
0,78672.59
0,1900458
9377.1,9377.1
0,3060631.7
0,520973.65
0,520973.65
0,520973.65
0,520973.65
0,520973.65
0,520973.65
0,520973.65
0,549103.15
0,549103.15
0,549103.15
0,549103.15
0,549103.15
1430834.4,1430834.4
613728,613728
301320,301320
286110,286110
121950,121950
117000,117000
41130,41130
0,603802.98
0,825721.38
0,35137.08
0,825721.38
0,11790000
595161,595161
0,18000000
1763384.4,1763384.4
0,133841.37
0,55003.3
0,121007.27
0,116882.02
0,550033.04
0,170510.24
0,73337.74
0,22918.04
0,188798.84
0,19251.16
0,916.72
0,916.72
0,4583.61
0,9167.22
0,4583.61
0,4583.61
0,641705.22
0,91672.17
0,73337.74
0,506981.65
0,22918.04
0,366688.7
0,550033.04
0,192511.57
0,68225.18
0,38502.31
0,128341.04
0,68754.13
0,1512590.87
0,146675.48
0,110006.61
0,114590.22
0,84338.4
0,458360.87
0,106339.72
354825,354825
3324844.8,3324844.8
125233.2,125233.2
36000,36000
0,678705.08
0,892627.93
0,1700649.1
4086.9,4086.9
0,144346.71
0,96229.64
0,24057.97
0,80192.49
0,28869.12
0,48115.94
0,56135.64
0,1590967.33
0,56135.64
0,80192.49
0,99439.32
0,24057.97
0,641542.16
0,641542.16
0,14400000
0,904575.01
0,2485482.37
0,47135.08
0,436526.99
0,57839.24
0,5499407.39
0,57235.46
0,39279.24
0,5611.32
0,3193.31
0,634316.76
0,813700.8
0,735104.7
7647876,7647876
27432,27432
1026,1026
88569,88569
88569,88569
88569,88569
88569,88569
88569,88569
88569,88569
74331,74331
5508,5508
5508,5508
22068,22068
3681,3681
2205,2205
362762.1,362762.1
331312.5,331312.5
0,777535.09
0,815202.73
0,625780.18
0,552372.75
0,63113.88
0,16409.74
0,694252.66
0,56113.2
8531847,8531847
16740000,16740000
975978,975978
25902,25902
2754,2754
1836,1836
2880,2880
15993,15993
16731,16731
39348,39348
70317,70317
12411,12411
202500,202500
0,84169.79
0,1105429.95
0,171004.96
0,67279.72
0,17423.15
0,157390.78
0,1284191.96
0,121860
264600,264600
0,4402306.26
0,1221475.86
0,22191.84
166599,166599
26487,26487
17982,17982
179622,179622
918,918
112149,112149
918,918
19575,19575
74331,74331
74331,74331
74331,74331
1377,1377
243774,243774
2754,2754
675,675
549,549
1836,1836
57249,57249
113436,113436
34659,34659
34929,34929
2754,2754
1935,1935
2754,2754
3735,3735
74331,74331
74331,74331
74331,74331
1107,1107
282573,282573
549,549
5508,5508
675,675
0,18540000
557432.1,557432.1
5670,5670
1732500,1732500
1899387,1899387
0,862434.11
0,206833.24
0,76426.17
0,574240
0,78558.47
0,39279.24
0,39279.24
0,39279.24
0,39279.24
0,103918.27
0,67335.83
0,155433.55
0,39279.24
0,39279.24
0,39279.24
0,39279.24
0,5611.32
88508.7,88508.7
0,818872.99
463590,463590
8550,8550
0,146096.28
0,30513.78
0,312535.08
0,13869.9
0,446610.78
0,188630.64
0,137774.34
0,60102.9
0,60102.9
0,164589.48
0,32363.1
0,60102.9
0,60102.9
0,10171.26
0,11430000
0,1854867.96
0,74897.46
0,2773.98
0,339350.22
0,3698.64
0,45308.34
0,1918944.45
0,1057957.65
0,168750
1294668,1294668
21555,21555
8532,8532
2952,2952
4749129,4749129
117126,117126
249543,249543
266184,266184
3726,3726
3726,3726
74331,74331
1377,1377
2205,2205
549,549
13239,13239
45504,45504
46125,46125
7353,7353
2754,2754
519498,519498
16443,16443
26595,26595
2952,2952
11403,11403
86130,86130
86130,86130
86130,86130
86130,86130
86130,86130
2943,2943
16542,16542
33093,33093
342,342
7353,7353
1197,1197
73872,73872
178515,178515
17982,17982
7668,7668
5661,5661
549,549
1836,1836
6714,6714
180,180
1963710,1963710
18729,18729
88569,88569
1107,1107
1836,1836
5508,5508
11034,11034
8208,8208
16470000,16470000
158346,158346
2259,2259
2484,2484
3177,3177
17649,17649
17919,17919
270,270
7353,7353
3483,3483
80451,80451
17280,17280
18333,18333
10350,10350
8406,8406
29484,29484
8181,8181
3222,3222
1566,1566
12312,12312
109206,109206
21510,21510
44118,44118
27756,27756
20403,20403
6210,6210
487188,487188
17145,17145
3735,3735
86130,86130
86130,86130
86130,86130
86130,86130
128628,128628
1107,1107
1656,1656
34929,34929
2754,2754
15282,15282
16830000,16830000
2754,2754
2304,2304
29880,29880
549,549
675,675
549,549
4599,4599
2889,2889
1476,1476
20043,20043
14580000,14580000
43407,43407
7668,7668
6705,6705
6705,6705
7668,7668
5508,5508
3177,3177
22068,22068
7353,7353
73908,73908
1935,1935
1045760.4,1045760.4
1052955,1052955
828,828
2016,2016
2678832,2678832
3386574,3386574
19944,19944
56259,56259
2062125,2062125
77265,77265
3177,3177
3177,3177
459,459
486,486
1471500,1471500
10260000,10260000
157100.4,157100.4
0,640103.09
0,468044.84
3988530,3988530
0,850099.1
0,273600
0,509530.83
0,533599.25
0,521513.53
0,1545296.5
0,1704418.08
0,201339.27
0,201339.27
0,201339.27
0,382291.33
0,382291.33
1000158.3,1000158.3
0,13869.9
2831506.2,2831506.2
351720,351720
0,2298704.76
9270000,9270000
14049,14049
34038,34038
11106,11106
86130,86130
86130,86130
74331,74331
74331,74331
74331,74331
114903,114903
1701,1701
1476,1476
3384,3384
12024,12024
2484,2484
1935,1935
3177,3177
270,270
1062,1062
3681,3681
324,324
4599,4599
67464,67464
7443,7443
16182,16182
1935,1935
37314,37314
4599,4599
65187,65187
101439,101439
11745,11745
46404,46404
11745,11745
5508,5508
12411,12411
3087,3087
95976,95976
4968,4968
12501,12501
39717,39717
56628,56628
62136,62136
0,1775771.78
136656,136656
0,861468.38
0,666878.45
0,1726278.47
0,2872836
0,2437417.44
0,1251637.89
0,7779789.99
295808.4,295808.4
0,216390.79
0,19210.75
0,53058.26
34830000,34830000
486000,486000
229500,229500
109800,109800
0,145171.62
0,24041.16
0,1966243.05
163080,163080
38430,38430
32130,32130
408150,408150
167760,167760
167760,167760
84420,84420
167760,167760
5940,5940
13230,13230
4680,4680
7740,7740
72990,72990
5940,5940
7830,7830
54000,54000
0,645997.97
0,36914.17
0,632926.14
235206,235206
154800,154800
9000,9000
0,7397.28
0,8321.94
0,2773.98
0,924.66
0,9246.6
0,47700
2960100,2960100
57249,57249
587781,587781
24480,24480
88569,88569
66654,66654
74331,74331
74331,74331
1935,1935
828,828
17919,17919
1062,1062
3681,3681
1377,1377
639,639
14373,14373
74331,74331
74331,74331
74331,74331
74331,74331
1377,1377
552555,552555
2754,2754
13329,13329
180,180
4495.5,4495.5
4495.5,4495.5
4495.5,4495.5
21600000,21600000
2205,2205
3177,3177
1539,1539
45594,45594
1701,1701
7353,7353
14580000,14580000
74331,74331
74331,74331
74331,74331
84573,84573
35388,35388
549,549
22500,22500
282970.8,282970.8
237934.8,237934.8
747368.1,747368.1
556984.8,556984.8
261000,261000
0,1350000
0,4168617.3
0,1363451.4
0,908517.16
0,396284.4
0,417578.66
0,135486
0,203619.16
0,44640.9
0,24922.8
0,1314171.04
0,33667.92
0,44702.02
0,109981.86
0,830795.14
0,382217.28
0,25363.16
0,57894.23
0,366698.61
0,17362.54
0,452071.47
0,26934.33
291170.7,291170.7
0,23611.28
3005145,3005145
1329174,1329174
3466836,3466836
3969,3969
16965,16965
41661,41661
575001,575001
13248,13248
25902,25902
9117,9117
9117,9117
9090000,9090000
14373,14373
11592,11592
91926,91926
91926,91926
91926,91926
74331,74331
74331,74331
6615,6615
5508,5508
270,270
279540,279540
549,549
7173,7173
41913,41913
549,549
7722,7722
275503.5,275503.5
402969.6,402969.6
330055.2,330055.2
0,7405285.81
0,2070000
0,2356.75
0,48257.35
0,280565.98
0,168339.59
0,280565.98
0,338169.54
0,381569.73
0,276296.89
0,18517.35
0,1683.4
0,1054.93
0,14028.3
0,1167.15
0,1571.17
0,1737.26
0,448905.56
0,24521.47
0,460128.2
0,89781.11
0,336679.17
0,448905.56
0,448905.56
0,448905.56
0,67335.83
0,432071.61
0,621734.21
0,710766.77
0,710766.77
0,897811.13
0,1122263.91
0,1458943.08
0,453698.75
0,522814.5
0,505181.49
0,576220.79
0,746305.5
173777.4,173777.4
69660,69660
0,164028.46
0,237060.78
0,95955.92
0,20613.98
591649.2,591649.2
1350,1350
0,17460000
329530.5,329530.5
450017.1,450017.1
0,1787577.35
0,497542.93
0,220094.9
0,2080634.06
0,100210.57
0,158309.11
0,187528.45
0,40465.62
0,912765.11
0,2146762.04
0,18360000
0,683999.51
0,1746086.42
0,2720127.63
10381.5,10381.5
0,825986.24
2578.5,2578.5
0,293246.09
1212300,1212300
434925,434925
0,2202158.85
0,1352813.72
849780.9,849780.9
322063.2,322063.2
0,904408.22
0,1117258.84
2250000,2250000
4979.7,4979.7
43602.3,43602.3
49410000,49410000
7603.2,7603.2
5535900,5535900
494802,494802
0,26557.37
0,136234.76
0,11241.22
0,396900
0,310685.76
238719.6,238719.6
0,407775.06
0,15719.22
195120,195120
0,26010000
0,888179.7
0,1728045.71
0,201339.27
0,59753.82
0,43201.55
0,423218.07
0,303578
0,84727.56
0,162733.88
0,12623.22
0,189341.63
0,44180.16
0,1074455.47
0,11100.31
0,100982.43
0,15936.15
0,59917.67
0,378683.27
0,995432.38
0,36411.85
0,4862671.88
0,6311.61
0,40392.52
0,382136.47
0,36411.85
0,1228483.94
0,42520.34
0,9911.83
0,213230.14
0,27540000
0,44910000
0,533075.36
0,3568799.23
0,448905.56
0,614860.34
0,168092.69
0,30343.77
0,24689.81
0,11222.64
0,33667.92
0,14589.43
0,14589.43
0,412501.5
234675,234675
185670,185670
86580,86580
0,281096.64
0,302363.82
0,10585.91
0,101065.66
0,2312603.73
0,57751.81
0,138604.34
0,24063.25
0,48126.51
0,101065.66
0,294720.25
0,5487.38
0,45046.41
0,440448.01
0,313784.82
0,646559.94
0,682843.19
0,244944
0,233820
0,244944
281745,281745
0,602878.32
459664.2,459664.2
4690719,4690719
0,595521
0,193245.3
0,364770
0,77041.8
0,108339.3
0,93894.3
0,495954
0,109609.2
0,137011.5
0,328827.6
0,137011.5
0,164413.8
0,137011.5
0,575448.3
0,137011.5
0,873093.6
810000,810000
90000,90000
0,277276.92
0,2312574.66
0,724933.44
0,3869702.1
0,378405
0,5562107.1
0,4860271.8
0,3066906.6
0,2052996.3
0,5486323.5
0,1230922.8
0,446040
0,2796950.7
0,1152000
0,30240000
0,22500
0,28980000
0,302400000
0,676395.23
0,1045265.77
0,1332178.02
1179252,1179252
105300,105300
22500,22500
540087.3,540087.3
630087.3,630087.3
1440250.2,1440250.2
0,668693.25
0,675078.19
0,412579.42
0,434866.32
0,177742.98
0,99225.45
0,90597.15
0,90597.15
0,888696
0,3697353
0,1534014
0,4722831
0,507780
0,1005804
0,20250000
0,929520
0,1175913
0,913608
0,1453698
0,1304370
0,1594467
0,920961
0,1151244
0,13500
0,2603193.22
0,1466225.98
0,615141.68
0,11610000
0,201339.27
0,201339.27
0,201339.27
0,201339.27
0,382291.33
0,390014.19
0,3084830.72
883548,883548
0,11610000
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,101760.16
0,168339.59
0,168339.59
0,0
0,250754.4
0,208962
0,292546.8
0,208962
0,125377.2
0,250754.4
0,250754.4
0,277276.92
0,1080
328571.1,328571.1
9990000,9990000
0,884196
0,3493035
0,3339117
0,1634841
0,1306224
0,1575072
0,978885
0,677745
0,388656
0,1379268
0,157959
0,10260000
0,2952666
0,1121150.92
0,201339.27
0,201339.27
0,214644.01
0,214644.01
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,84932.93
0,115817.64
0,28135.16
0,72386.02
0,66101.34
0,142190.84
0,428951.71
0,646985.14
0,153929.72
0,81370.87
0,66857.75
0,45325.99
0,81370.87
0,52230.16
0,65023.97
0,11559.32
0,43016.38
0,93679.86
0,93679.86
0,4715259.15
0,34677.95
0,77211.76
0,1366513.43
0,365229.57
0,1151442.77
0,1027320.38
0,31816.18
0,92238.87
0,404127.23
0,27720000
0,2250000
0,8532000
0,2862000
0,18360000
0,9270000
0,1061509.68
0,395754.48
0,38835.72
0,283870.62
0,1661635.35
1038688.2,1038688.2
225652.5,225000
415901.7,415901.7
346708.8,346708.8
82260000,82260000
0,1240095.22
0,825480
0,749295
0,1098738
0,937170
0,525960
0,480276
0,931788
0,2824227
0,126567
0,6118776
0,2537820
0,254232
0,2522061
0,1543464
0,2256993
0,1873014.59
484537.5,484537.5
2029500,2029500
0,0
0,0
0,0
0,0
0,0
0,0
0,13770000
0,160713.19
0,87989.41
0,76540.19
0,11661.25
0,8480.91
0,0
0,0
133830.9,133830.9
0,411485.4
0,202362.3
0,259068.6
0,44475.3
0,222376.5
0,202362.3
0,155663.1
0,55593.9
0,728492.4
0,1575000
0,1575000
0,15030000
1080928.8,1080928.8
357238.8,357238.8
32400,32400
0,784429.19
0,1236766.65
0,952821.26
936408.6,936408.6
0,4252518
0,553230
0,3150
0,102816
0,3900053.97
0,3809571.3
0,201339.27
0,201339.27
0,382291.33
1097578.8,1097578.8
0,0
0,0
0,0
0,11222.64
0,2179757.48
0,1035866.42
0,5456.45
0,65434.72
0,168339.59
0,168339.59
0,467770.82
0,61724.52
0,6660.64
0,2121.08
0,12344.9
0,11110.41
0,2468.98
0,29627.77
0,1930.29
0,17282.86
0,1109.92
0,72162.69
0,59621.39
0,2545.29
0,29178.86
0,134671.67
0,179562.23
0,112226.39
0,945.9
0,3870626.76
0,73048.14
0,507.6
275894.1,275894.1
0,966168
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,262591.8
3592673.1,0
0,7200
0,318193.2
0,192705.3
0,192705.3
0,192705.3
0,192705.3
0,234369.9
0,234369.9
0,172866.6
0,444186.9
0,336494.7
0,197937.9
409500,409500
175500,175500
132300,132300
0,258904.8
0,261678.78
0,3268673.1
0,1408257.18
0,148870.26
0,154418.22
0,945.9
58932,58932
0,15030000
651427.2,651427.2
0,822725.69
0,1307779.46
0,1692459.06
0,316846.41
0,68325.13
0,1626138.13
0,245970.47
0,91100.18
0,45550.09
0,63405.72
0,115724.55
0,33342.66
0,27967.75
0,1222655.46
0,126355.94
0,992080.91
0,5057790.65
0,63770.12
0,323678.92
0,1203433.32
0,681167.12
0,1099701
0,1139400
0,1139706
0,1008126
0,434736
0,3258225
0,1503873
0,1694970
0,857952
0,70200
0,2175012
0,2405556
0,968238
0,208665
0,2292288.77
0,796819.98
503919,503919
1211724,1211724
0,0
0,0
0,160034.83
0,151202.62
0,151202.62
0,22684.32
0,51263.89
0,22684.32
0,3137445.88
0,181656.9
0,221621.4
0,324801.9
276127.2,276127.2
0,9747.72
0,343629.86
0,74629.26
0,87237.53
0,3331773
0,3100401
0,252459
0,2009745
0,887285.07
0,0
0,0
0,0
0,0
0,0
0,2298825
0,1080216
2108159.1,2108159.1
0,614101.92
0,3712627.83
334536.3,334536.3
310968.9,310968.9
0,214814.21
0,685619.92
